id,title,ICD9,ICD10
25,Autism,['299.0'],"['F840', 'f80']"
876,Motor neuron disease,['335.2'],"['G122', 'g10']"
967,Acute disseminated encephalomyelitis,"['323.6', '323.8']","['G040', 'g00']"
1386,Arachnophobia,[],[]
1776,Arthritis,"['710', '719']","['M00', 'm00', 'M25', 'm20']"
2909,Albinism in humans,['270.2'],"['E703', 'e70']"
3135,Arteriovenous malformation,"['747.6', '747.8']","['Q273', 'q20', 'Q280', 'q20', 'Q282', 'q20']"
3840,Brain abscess,['324.0'],"['Q273', 'q20', 'Q280', 'q20', 'Q282', 'q20']"
4581,Bacterial vaginosis,['616.1'],['N76']
4746,Plague (disease),['020'],['A20']
4918,Bipolar I disorder,['296.7'],['A20']
5617,Creutzfeldt–Jakob disease,['046.1'],"['A810', 'a80', 'F021', 'f00']"
5721,Coma,['780.0'],"['R402', 'r40']"
5872,Bradycardia,"['427.8', '659.7', '785.9', '779.8']","['R001', 'r00']"
6352,Congenital iodine deficiency syndrome,['243'],"['E00', 'e00']"
7038,Candidiasis,['112'],"['B37', 'b35']"
7659,Cerebral arteriovenous malformation,['747.8'],"['Q282', 'q20']"
7845,Charcot–Marie–Tooth disease,['356.1'],"['G600', 'g60']"
7846,Central pontine myelinolysis,[],[]
8011,Alcohol intoxication,"['305.0', '980']","['F100', 'f10', 'T51', 't51']"
9659,Endocarditis,['421'],"['I33', 'i30']"
9841,Expressive aphasia,['315.3'],"['F801', 'f80']"
10511,Epilepsy,['345'],"['G40', 'g40', 'G41', 'g40']"
10528,Essential tremor,['333.1'],"['G250', 'g20']"
10898,Fugue state,['300.1'],"['F441', 'f40']"
11806,Foix–Alajouanine syndrome,['336.1'],"['F441', 'f40']"
12265,Goitre,['240.9'],"['E01', 'e00', 'E05', 'e00']"
13528,Hemiparesis,"['342.9', '094.8', '438.2']","['G819', 'g80']"
14783,Erectile dysfunction,"['302.7', '607.8']","['F522', 'f50', 'N484', 'n40']"
15354,Interstitial cystitis,['595.1'],"['N301', 'n30']"
15538,Inclusion body myositis,['359.7'],"['M608', '611', '2010']"
16994,Kwashiorkor,['260'],"['E40', 'e40', 'E42', 'e40']"
17455,Kocher–Debre–Semelaigne syndrome,[],"['E40', 'e40', 'E42', 'e40']"
17886,Lafora disease,['333.2'],"['G403', 'g40']"
18450,Lung cancer,['162'],"['C33', 'c30', 'C34', 'c30']"
18722,Lymphedema,"['457.0', '457.1', '757.0']","['I890', 'i80', 'I972', 'i95', 'Q820', 'q80']"
18982,Muscular dystrophy,"['359.0', '359.1']","['G710', 'g70']"
20452,Meconium aspiration syndrome,"['770.1', '770.1']","['P240', 'p20']"
21221,Neuromyotonia,['333.9'],"['G711', 'g70']"
21937,Nitrogen narcosis,['333.9'],"['G711', 'g70']"
22461,Osteoporosis,['733.0'],"['M80', 'm80', 'M82', 'm80']"
22786,Optic neuritis,['377.3'],"['H46', 'h46', 'G44', '848']"
23251,Phenylketonuria,['270.1'],"['E700', 'e70']"
23337,Phobia,['300.2'],['F40']
23497,Paroxysmal attack,['300.2'],"['G40', 'g40', 'G47', 'g40']"
23592,Paraphilia,['300.2'],['F65']
24514,Psychosis,"['290', '299']","['F20', 'F29']"
24515,Paranoia,"['295.3', '297.1', '297.2']","['F200', 'f20', 'F220', 'f20', 'F228', 'f20', 'F600', 'f60']"
24579,Pelvic inflammatory disease,"['614', '616']","['N70', 'n70', 'N77', 'n70']"
24595,Autosomal dominant polycystic kidney disease,['753.1'],"['Q61', 'q60']"
25160,Progressive multifocal leukoencephalopathy,['046.3'],"['A812', 'a80']"
25161,Idiopathic intracranial hypertension,['348.2'],"['G932', 'g90']"
25756,Repetitive strain injury,"['E927.1', 'E927.3', 'E927.9', '727.2']","['M70', 'X50', 'Z57']"
25987,Rickets,"['E927.1', 'E927.3', 'E927.9', '727.2']","['M70', 'X50', 'Z57']"
26011,Receptive aphasia,['784.3'],"['F802', 'f80']"
26378,Rift Valley fever,['066.3'],"['A924', 'a90']"
26492,Ramsay Hunt syndrome type 2,['053.1'],"['B022', 'b00', 'B02', '270', 'G53']"
26951,Systemic scleroderma,['710.1'],"['M34', 'm30']"
27154,Epileptic seizure,"['345.9', '780.3']","['G40', 'g40', 'P90', 'p90', 'R56', 'r56']"
28394,Stuttering,['307.0'],"['F985', 'f90']"
29666,Syringomyelia,"['336.0', '742.5']","['G950', 'g90', 'Q064', 'q00']"
30707,Temporomandibular joint dysfunction,['524.6'],"['K076', 'k00']"
31596,Typhoid fever,['002'],"['A010', 'a00']"
31620,Giant-cell arteritis,['446.5'],"['M315', 'm30', 'M316', 'm30']"
31621,Transient ischemic attack,['435.9'],"['G459', 'g40']"
31622,Transverse myelitis,"['323.8', '341.2']","['G373', 'g35']"
32134,Urethritis,"['597', '099.4']","['N34', 'n30']"
32688,Vulvodynia,['625.7'],"['N34', 'n30']"
32768,Von Hippel–Lindau disease,['759.6'],"['Q858', 'q80']"
32834,Varicose veins,"['454', '456', '671']","['I83', 'i80', 'I84', 'i80', 'I85', 'i80', 'I86', 'i80']"
34439,Zoonosis,"['454', '456', '671']","['I83', 'i80', 'I84', 'i80', 'I85', 'i80', 'I86', 'i80']"
36202,5α-Reductase deficiency,"['257.2', '752.7']","['E291', 'e20', 'Q563', 'q50']"
37220,Infection,"['001', '139']","['A00', 'a00', 'B99', 'b99']"
37284,Brain tumor,"['191', '225.0']","['C71', 'D33']"
37641,Head injury,"['800', '879']","['S00000', 'S09', 's00']"
37796,West Nile fever,['066.4'],['A923']
39411,XYY syndrome,['758.8'],"['Q985', 'q90']"
39653,Dissociative identity disorder,['300.1'],"['F448', 'f40']"
40142,Botulism,"['005.1', '040.4', '040.4']","['A051', 'a00']"
42795,Anorexia (symptom),['783.0'],"['R630', 'r50']"
43097,Gender dysphoria,['302.8'],"['F64', 'f60', 'F64', 'f60']"
43871,Fatal insomnia,['046.7'],"['A819', 'a80']"
44061,Convulsion,['125.7'],['R56']
44738,Diabetes insipidus,"['253.5', '588.1']","['E232', 'e20', 'N251', 'n25']"
46133,Cardiomyopathy,['425'],"['I25', 'I42', 'I43']"
46177,Epidemic typhus,"['080', '083']","['A751', 'a75']"
